;filter_conv_1;kernel_conv_1;filter_conv_2;kernel_conv_2;filter_conv_3;kernel_conv_3;batchnorm_1;batchnorm_2;batchnorm_3;batchnorm_4;n_dense;batch_size;best_val_acc
94;32;5;64;5;128;5;0.8320367201292127;0.9666614919348934;0.8105928469529593;0.8152196096609384;64;128;0.7849000096321106
95;32;5;64;3;256;3;0.9407723937695848;0.8850601458618751;0.9700058247015336;0.8587974772337317;256;128;0.7957999706268309
96;64;5;128;3;256;3;0.9035059754964264;0.9326326461119804;0.7653181990507921;0.7956983303578222;64;128;0.8191999793052673
97;64;3;128;5;128;5;0.9115987728611682;0.8221434437884795;0.8293460502151562;0.9451256033862896;256;128;0.8321999907493591
98;64;5;64;5;128;3;0.8621873649492076;0.9979818720146221;0.7417136224178743;0.9281203570321108;128;64;0.8097000122070312
99;32;5;64;5;256;5;0.7523760061927129;0.8792655287252225;0.9008049391246716;0.7878401453602162;64;128;0.794700026512146
100;32;3;64;5;256;3;0.9769260716597804;0.9317549066265884;0.8904097956546383;0.8041456814457935;128;128;0.8080000281333923
101;64;5;64;5;128;5;0.9177219188273787;0.9722525983070454;0.9278489900723764;0.8442204685718548;128;128;0.7878000140190125
102;32;5;128;3;128;5;0.7937138997158925;0.8244214423052366;0.7293690557697686;0.8251356239206167;64;64;0.8140000104904175
103;32;3;128;5;256;3;0.8795668523851259;0.8589479911742729;0.9351761031486292;0.7108052921776452;64;64;0.8263000249862671
104;64;5;128;3;128;3;0.966118372000172;0.9817261773179259;0.8854755355977266;0.8234310454695302;256;128;0.7972000241279602
105;32;3;128;5;128;5;0.9097599254128858;0.7816401668674383;0.8300941515753433;0.9970007799105208;256;64;0.8317999839782715
106;64;3;128;5;128;5;0.8962638555527771;0.76140326487611;0.8495289637536461;0.9536799852817344;256;256;0.8104000091552734
107;64;3;128;5;128;5;0.919225382848948;0.7697253429622997;0.8169064434402854;0.9991845977679976;256;64;0.8342000246047974
108;64;3;128;5;128;5;0.8112652344238815;0.7506503180566194;0.7987510334513684;0.9032330565345692;256;64;0.8442000150680542
109;64;3;128;5;128;5;0.8159982267016581;0.7009351602270841;0.7969548506533175;0.8939588836606209;256;64;0.8338999748229979
110;64;3;128;5;128;5;0.7946675007632109;0.7508692081870729;0.8620468384989292;0.9093622933994032;256;64;0.8429999947547913
111;64;3;128;5;128;5;0.7899014086015078;0.7451098775874752;0.8662251688631702;0.9029043641344598;256;64;0.8429999947547913
112;64;3;128;5;128;5;0.7356582692262742;0.7404960378254629;0.7904929464783572;0.8711184484366272;256;64;0.8388000130653381
113;64;3;128;5;128;5;0.7935843568915518;0.7955576899557796;0.8564412363144973;0.9220340973262956;256;256;0.8134999871253967
114;64;3;128;5;128;5;0.7654312230859862;0.7027021334583784;0.7100475197616631;0.964103651774624;256;64;0.8414000272750854
115;64;5;128;3;256;3;0.9468529332676826;0.7196109409121522;0.7053455845411682;0.9535089629421972;128;256;0.8131999969482422
116;32;3;64;3;256;5;0.8491167844627737;0.7202971298035145;0.9898804311698126;0.7033319304154245;256;64;0.8094000220298767
117;32;5;128;3;256;3;0.8410000438151318;0.8908543050844997;0.9134274256235904;0.8687144517269564;256;128;0.8047000169754028
118;32;3;64;5;256;5;0.7656624799722976;0.7769031676975944;0.7361945823105148;0.7480750404243613;128;128;0.8119000196456909
119;32;3;128;5;256;5;0.9442716748388452;0.938114720866043;0.9509284217745926;0.9859821741016108;256;64;0.8323000073432922
